year,region,total_stu,total_teacher,sum
2020,Gang Dong-gu,21353,1504,22857
2021,Seoul,399435,28219,427654
2021,Jongno-gu,5072,448,5520
2021,Jung-gu,4808,382,5190
2021,Yongsan-gu ,6656,585,7241
2021,Seongdong-gu,10555,897,11452
2021,Gwangjin-gu,13742,961,14703
2021,Dongdaemun-gu,12792,911,13703
2021,Jungnang-gu,13862,1042,14904
2021,Seongbuk-gu,19628,1354,20982
2021,Gangbuk-gu,9412,689,10101
2021,Dobong-gu,13952,979,14931
2021,Nowon-gu,24692,1716,26408
2021,Eunpyeong-gu,19730,1368,21098
2021,Seodaemun-gu,12940,900,13840
2021,Mapo-gu,13888,1020,14908
2021,Yangcheon-gu,23469,1503,24972
2021,Gangseo-gu,24896,1711,26607
2021,Guro-gu,17290,1300,18590
2021,Geumcheon-gu,8050,672,8722
2021,Yeongdeungpo-gu,13776,1042,14818
2021,Dongjak-gu,15174,1053,16227
2021,Gwanak-gu,13550,1044,14594
2021,Seocho-gu,22345,1330,23675
2021,Gangnam-gu,25829,1624,27453
2021,Songpa-gu,31235,2161,33396
2021,Gang Dong-gu,22092,1527,23619
