year,region,num_school,num_class,total_stu,man_stu,women_stu,total_teacher,man_teacher,women_teacher,total_employee,man_employee,women_emplyee,num_graduate,num_entrant,area,build_area
2017,Seocho-gu,24,866,22939,11725,11214,1343,120,1223,136,58,78,3958,4038,304,208
2017,Gangnam-gu,33,970,24371,12738,11633,1595,130,1465,169,70,99,4558,3953,442,359
2017,Songpa-gu,39,1313,31191,16040,15151,2103,203,1900,197,77,120,5402,5301,464,380
2017,Gang Dong-gu,27,900,20161,10606,9555,1442,176,1266,122,55,67,3521,3411,364,255
2018,Seoul,603,18585,424800,218464,206336,28992,3791,25201,3025,1313,1712,67742,70686,7210,5892
2018,Jongno-gu,13,277,5507,2844,2663,446,61,385,56,27,29,904,861,114,98
2018,Jung-gu,12,246,5226,2557,2669,398,63,335,73,38,35,832,897,117,99
2018,Yongsan-gu ,15,357,7460,3833,3627,578,68,510,67,28,39,1211,1225,188,117
2018,Seongdong-gu,21,585,11922,6068,5854,972,124,848,112,55,57,1855,2109,201,234
2018,Gwangjin-gu,22,656,15016,7669,7347,1020,138,882,118,59,59,2364,2494,218,206
2018,Dongdaemun-gu,21,621,13721,7093,6628,968,117,851,114,60,54,2132,2309,278,209
2018,Jungnang-gu,23,701,15336,7847,7489,1070,164,906,115,53,62,2361,2656,266,273
2018,Seongbuk-gu,29,908,21564,11091,10473,1405,225,1180,150,63,87,3380,3596,333,302
2018,Gangbuk-gu,14,468,10654,5434,5220,736,141,595,79,33,46,1827,1754,179,161
2018,Dobong-gu,23,721,15962,8250,7712,1041,188,853,111,52,59,2492,2595,279,219
2018,Nowon-gu,42,1239,27558,14096,13462,1851,354,1497,220,103,117,4893,4242,484,366
2018,Eunpyeong-gu,30,933,22028,11388,10640,1428,187,1241,145,63,82,3438,3630,395,299
2018,Seodaemun-gu,19,579,13027,6618,6409,910,112,798,103,50,53,2109,2162,221,196
2018,Mapo-gu,22,685,15432,7851,7581,1098,125,973,111,44,67,2445,2462,239,214
2018,Yangcheon-gu,30,1029,24481,12664,11817,1526,173,1353,153,61,92,4357,3739,355,290
2018,Gangseo-gu,36,1184,26949,13868,13081,1768,230,1538,182,78,104,4116,4826,424,347
2018,Guro-gu,24,827,18820,9557,9263,1297,166,1131,119,51,68,2710,3327,308,233
2018,Geumcheon-gu,18,445,8883,4534,4349,712,106,606,81,36,45,1391,1566,202,157
2018,Yeongdeungpo-gu,23,664,13881,7132,6749,1081,141,940,113,44,69,2129,2448,300,217
2018,Dongjak-gu,21,687,16366,8460,7906,1094,142,952,110,55,55,2589,2811,259,213
2018,Gwanak-gu,22,715,15768,8130,7638,1147,157,990,102,42,60,2572,2695,279,226
2018,Seocho-gu,24,881,23182,11835,11347,1369,116,1253,125,45,80,3536,3863,304,212
2018,Gangnam-gu,33,985,24858,12992,11866,1610,128,1482,160,55,105,4203,3970,443,365
2018,Songpa-gu,39,1337,31368,16179,15189,2133,207,1926,194,74,120,5019,5221,464,382
2018,Gang Dong-gu,27,855,19831,10474,9357,1334,158,1176,112,44,68,2877,3228,361,256
